date,value
Tue Mar 13 2018 17:48:15 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:17 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:15 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:16 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:16 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:17 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:18 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:18 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:19 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:19 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:20 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:22 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:20 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:21 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:21 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:22 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:23 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:23 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:24 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:24 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:25 GMT-0500 (EST),478
Tue Mar 13 2018 17:48:25 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:26 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:26 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:27 GMT-0500 (EST),478
Tue Mar 13 2018 17:48:27 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:28 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:28 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:29 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:29 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:30 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:30 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:31 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:31 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:32 GMT-0500 (EST),478
Tue Mar 13 2018 17:48:32 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:33 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:33 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:34 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:34 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:35 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:35 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:36 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:36 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:37 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:37 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:39 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:38 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:38 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:39 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:40 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:40 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:41 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:41 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:42 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:42 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:44 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:43 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:43 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:44 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:45 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:45 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:46 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:46 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:47 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:47 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:49 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:48 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:48 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:49 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:50 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:50 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:51 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:51 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:52 GMT-0500 (EST),478
Tue Mar 13 2018 17:48:52 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:53 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:53 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:54 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:54 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:55 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:55 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:56 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:56 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:57 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:57 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:58 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:58 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:59 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:59 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:00 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:00 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:01 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:01 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:02 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:02 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:03 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:03 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:04 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:04 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:05 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:07 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:05 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:06 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:06 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:07 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:08 GMT-0500 (EST),478
Tue Mar 13 2018 17:49:08 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:09 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:09 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:10 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:12 GMT-0500 (EST),478
Tue Mar 13 2018 17:49:10 GMT-0500 (EST),478
Tue Mar 13 2018 17:49:11 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:11 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:12 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:13 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:14 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:14 GMT-0500 (EST),478
Tue Mar 13 2018 17:49:13 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:15 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:15 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:17 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:16 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:16 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:17 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:18 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:18 GMT-0500 (EST),478
Tue Mar 13 2018 17:49:19 GMT-0500 (EST),478
Tue Mar 13 2018 17:49:19 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:20 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:20 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:22 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:21 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:21 GMT-0500 (EST),478
Tue Mar 13 2018 17:49:22 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:23 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:23 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:24 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:24 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:25 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:25 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:26 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:26 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:27 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:27 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:28 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:28 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:29 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:29 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:30 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:30 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:31 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:31 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:32 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:32 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:33 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:33 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:34 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:34 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:35 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:35 GMT-0500 (EST),478
Tue Mar 13 2018 17:49:36 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:36 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:37 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:37 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:39 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:38 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:38 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:39 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:40 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:40 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:41 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:41 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:42 GMT-0500 (EST),478
Tue Mar 13 2018 17:49:42 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:44 GMT-0500 (EST),478
Tue Mar 13 2018 17:49:43 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:43 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:44 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:45 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:45 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:46 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:46 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:47 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:47 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:49 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:48 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:48 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:49 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:50 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:50 GMT-0500 (EST),476
Tue Mar 13 2018 17:49:51 GMT-0500 (EST),478
Tue Mar 13 2018 17:49:51 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:52 GMT-0500 (EST),477
